Electoral wards and divisions Code,Electoral wards and divisions,Ethnic group (20 categories) Code,Ethnic group (20 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,L8 and L9: Small employers and own account workers,4
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,L10 and L11: Lower supervisory and technical occupations,1
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6,L12: Semi-routine occupations,3
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7,L13: Routine occupations,3
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8,L14.1 and L14.2: Never worked and long-term unemployed,1
E05013968,Cranham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9,L15: Full-time students,4
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",-8,Does not apply,21
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",24
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",15
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",3,L7: Intermediate occupations,5
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",4,L8 and L9: Small employers and own account workers,10
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",5,L10 and L11: Lower supervisory and technical occupations,4
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",6,L12: Semi-routine occupations,2
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",7,L13: Routine occupations,5
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",8,L14.1 and L14.2: Never worked and long-term unemployed,8
E05013968,Cranham,2,"Asian, Asian British or Asian Welsh: Chinese",9,L15: Full-time students,8
E05013968,Cranham,3,"Asian, Asian British or Asian Welsh: Indian",-8,Does not apply,61
E05013968,Cranham,3,"Asian, Asian British or Asian Welsh: Indian",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",72
E05013968,Cranham,3,"Asian, Asian British or Asian Welsh: Indian",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",57
E05013968,Cranham,3,"Asian, Asian British or Asian Welsh: Indian",3,L7: Intermediate occupations,26
E05013968,Cranham,3,"Asian, Asian British or Asian Welsh: Indian",4,L8 and L9: Small employers and own account workers,16
E05013968,Cranham,3,"Asian, Asian British or Asian Welsh: Indian",5,L10 and L11: Lower supervisory and technical occupations,5
E05013968,Cranham,3,"Asian, Asian British or Asian Welsh: Indian",6,L12: Semi-routine occupations,9
E05013968,Cranham,3,"Asian, Asian British or Asian Welsh: Indian",7,L13: Routine occupations,7
